OBJECTID,Plant_Name,Owner,Operator,State,County,City,ZipCode,Cap_MMcfd,Plant_Flow,BTU_Content,Dry_Stor,NGL_Stor,Longitude,Latitude,Period,Source,Loc_Source,x,y
61,Camrick Gas Plant,"Camrick Gas Processing Company, LLC",Carrera Operating Company,OK,Beaver,Balko,73931,10,4,1140,,500,-100.94181,36.50358,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11236790.889,4370136.2867
62,Cana Plant,,"Enlink Midstream Services, LLC",OK,Canadian,Calumet,73014,420,371,1189,,6095,-98.09698,35.53513,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10920105.862,4236843.0746
63,Canadian Valley Natural Gas Processing,ONEOK,ONEOK,OK,Canadian,Calumet,73014,250,249,1230,1,500,-98.1393,35.58986,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-10924816.9028,4244332.5076
64,Canute,Enable Products LLC,Enable Products LLC,OK,Washita,Canute,73626,60,32,1128,,,-99.30167,35.30917,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11054211.3393,4205975.891
65,Capiana Plant,Enable Midstream Partners,Enable Midstream Partners,LA,Caddo,Shreveport,71115,25,15,1050,,715,-93.61304,32.34498,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10420955.9444,3808680.2895
66,Cargray Plant,ETC Field Services LLC,ETC Field Services LLC,TX,Carson,White Deer,79097,30,15,1340,,19824,-101.13585,35.52346,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11258391.3229,4235246.7746
67,Carlsbad Chaparral Gas Plant,"Enterprise Field Services, LLC",Enterprise Field Services LLC,NM,Eddy,Carlsbad,88220,40,23,1150,,,-103.89507,32.65397,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11565546.2883,3849463.824
68,Carmen Gas Processing Plant,"Tall Oak Midcon, LLC","Tall Oak Midcon, LLC",OK,Alfalfa,Carmen,73726,60,29,1185,,715,-98.53285,36.57609,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10968626.6884,4380182.7695
69,Carter Creek Gas Plant,Hilcorp Energy Development LP,Hilcorp Energy Development LP,WY,Uinta,Evanston,82930,62,45,1010,0,75,-110.91311,41.57339,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12346790.9275,5097288.0092
70,Cashion Plant,Superior Pipeline Company LLC,Superior Pipeline Company LLC,OK,Logan,Cashion,73016,45,36.5,1300,0,700,-97.65489,35.74806,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10870892.6283,4266009.963
71,Casper Plant,Tallgrass Energy Midstream LLC,,WY,Natrona,Casper,82604,65,45,1145,,8970,-106.23774,42.85663,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11826331.1198,5290174.8691
72,Castleberry Plant,Gas Processors Inc,Gas Processors Inc,AL,Conecuh,Castleberry,36432,9,9,1275,,2857,-86.88647,31.29632,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9672157.5972,3671292.0252
73,CCI San Juan LLC,"Castleton Commodities International, LLC",,NM,San Juan,Kirtland,87417,30,23,1039,,,-108.36613,36.75905,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12063262.4108,4405574.4693
74,Cedar Hill Gas Plant,Davis Gas Processing Inc,Davis Gas Processing Inc,TX,Garza,Post,79356,8,1,1265,,750,-101.40068,33.16039,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11287872.0637,3916612.4555
75,Centennial Gas Plant,"Sterling Energy Investments, LLC","Sterling Energy Investments, LLC",CO,Weld,Briggsdale,80611,20,11,1393,,5714,-104.15694,40.71389,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11594697.5234,4970231.6597
76,CGU Cordona Lake Plant,"XTO Energy, Inc.","XTO Energy, Inc.",TX,Crane,Crane,79731,10,4.57,610,,443,-102.5625,31.32501,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11417205.2745,3675030.2016
77,Chaco Gas Plant,Enterprise Field Services LLC,Enterprise Products Operating LLC,NM,San Juan,Bloomfield,87413,600,338,1185,,12113,-108.12104,36.48328,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12035979.1168,4367325.346
78,Chaney Dell Plant,"TPL Mid-Continent Westok, LLC","Tpl Mid-Continent Westok, LLC",OK,Major,Ringwood,73768,30,,1120,,,-98.2442,36.4329,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10936494.3174,4360352.4081
79,Chapel Hill Gas Plant,American Midstream,American Midstream,TX,Smith,Winona,75792,25,13,1067,,4850,-95.10833,32.38444,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10587410.8658,3813880.8184
80,Chatom Plant,,"American Midstream Chatom, LLC",AL,Washington,Chatom,36518,12,7,1200,,6190,-88.40107,31.46161,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9840762.098,3692844.2147
81,Cheney Natural Gas Processing,ONEOK,ONEOK,KS,Kingman,Cheney,67025,85,30,1045,,,-97.86237,37.60305,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10893989.1962,4523500.8637
82,Chester Plant,Targa,Targa,OK,Major,Chester,73838,30,,1102,,,-98.98034,36.2461,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11018441.0473,4334537.4051
83,Chico Plant,"Targa Midstream Services, LLC","Targa Midstream Services, LLC",TX,Wise,Chico,76431,265,135,1214,,17383,-97.87806,33.3125,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10895735.799,3936856.9511
84,Chipeta Plant,"Western Gas Partners, LP","Western Gas Partners, LP",UT,Uintah,Vernal,84078,750,415,1112,,,-109.41961,40.03766,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12180535.268,4871416.4382
85,Chipola Field Gas Plant,"Bridwell Oil Management, LLC","Bridwell Oil Management, LLC",LA,Saint Helena,,,1,1,1200,,700,-90.82202,30.97027,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10110261.0192,3628888.7385
86,Chisholm Plant,ETC Texas Pipeline Ltd.,Energy Transfer Company,TX,Fayette,La Grange,78945,120,70,1275,,1000,-96.88692,30.00133,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10785402.5989,3503720.8037
87,Chisholm Plant,"EnLink Midstream Services, LLC","EnLink Midstream Services, LLC",OK,Kingfisher,Kingfisher,73750,560,390,1250,,14156,-97.74381,35.7737,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-10880791.1574,4269527.3528
88,Chitwood Plant,"DCP Operating Company, LP","DCP Operating Company, LP",OK,Grady,Ninnekah,73067,90,70,1250,,4000,-97.82725,34.85603,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10890079.6557,4144333.3672
89,Cimarron Gas Plant,"DCP Operating Company, LP","DCP Operating Company, LP",OK,Woodward,Seiling,73663,65,55,1100,,2388,-98.99444,36.18222,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11020010.6522,4325723.6178
90,Clinton,Enable Products LLC,Enable Products LLC,OK,Custer,Clinton,73601,120,117,1197,,,-98.86306,35.49528,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11005385.4975,4231393.084
91,Coalgate Plant,Enable Midstream Partners,Enable Midstream Partners,OK,Coal,Coalgate,74538,13,4,1106,,714,-96.23225,34.60486,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10712525.0679,4110312.0105
92,Coalgate Stonewall Gas Plant,Targa Resources,Targa Resources,OK,Coal,Coalgate,74538,280,258,1200,,,-96.28924,34.58668,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10718869.1657,4107853.505
93,Copley Extraction Plant,"Dominion Gathering and Processing, Inc.","Dominion Energy Transmission, Inc.",WV,Lewis,Weston,26452,35,,,,2514,-80.52342,38.98233,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8963826.1113,4719140.8127
94,Cornell Mahoney Gas Plant,"XTO Energy, INC",,TX,Yoakum,Denver City,79323,50,40,380,,2000,-102.87212,32.99888,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11451672.0152,3895155.3031
95,Cotton Valley Gas Plant,"XTO Energy, Inc.","XTO Energy, Inc.",LA,Webster,Cotton Valley,71018,90,35,,,18000,-93.37389,32.78472,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10394333.8882,3866763.8824
96,County Line Plant,"Liberty Midstream Solutions, LLC","Liberty Midstream Solutions, LLC",ND,Williams,Tioga,58852,25,11,1475,,6500,-102.89911,48.48844,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11454676.5283,6188501.9623
97,Cowtown/Corvette Plant,Cowtown Gas Processing Partners LP,Cowtown Gas Processing Partners LP,TX,Hood,Cleburne,76033,300,125,1190,0,7857,-97.68107,32.33488,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10873806.9725,3807349.5507
98,Cox City,Enable Products LLC,Enable Products LLC,OK,Grady,Rush Springs,73082,180,127,1172,,3333,-97.80083,34.79639,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10887138.5948,4136245.6687
99,Coyanosa,ETC Field Services LLC,ETC Field Services LLC,TX,Pecos,Coyanosa,79730,125,100,1175,,97000,-102.98944,31.19083,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11464732.0179,3657556.9287
100,Crane Gas Plant,"Navitas Midstream Midland Basin, LLC",,TX,Upton,Crane,79731,30,25,1355,,,-102.16505,31.41767,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11372961.3429,3687111.1683
101,Crescent Plant,ETC Field Services LLC,ETC Field Services LLC,OK,Logan,Crescent,73028,40,36,1200,,1800,-97.61754,35.90199,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10866734.8453,4287143.714
102,Crestwood,Crestwood Midstream Partners,Crestwood West Coast,CA,Kern,Tupman,93276,24,1,1271,,373,-119.31194,35.28056,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-13281744.4064,4202073.7933
103,Crossroads,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Harrison,Marshall,75672,60,,1025,,,-94.29724,32.43704,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10497120.74,3820816.6334
104,Custer Natural Gas Processing,ONEOK,ONEOK,OK,Custer,Custer City,73639,80,80,1120,,715,-99.02278,35.63778,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11023165.4465,4250894.2427
105,Cut Bank NGL Plant,"Omimiex, LTD",Northwestern Energy,MT,Glacier,Cut Bank,59427,20,4,1139,,9000,-112.24667,48.60306,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12495242.1476,6207775.4176
106,Cutthroat B,QEP Energy Co,QEP Energy Co,CO,Montezuma,Pleasant View,81331,0.84,0.07,1256,0,1429,-108.91082,37.43702,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12123897.0243,4500198.068
107,Dagger Draw,Agave Energy Company,Agave Energy Company,NM,Eddy,Artesia,88210,50,35,1150,,,-104.44488,32.71398,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11626750.8576,3857400.8396
108,Deadwood Plant,,"Enlink Permian, LLC",TX,Glasscock,Garden Cty,79739,58,29,1365,,2330,-101.48356,31.94763,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-11297098.2231,3756438.2123
109,Delaware Basin Gas Processing Plant,"Delaware Basin Gas Processing, LLC",Enterprise Products Operating LLC,TX,Reeves,Coyanosa,79730,150,150,1239,,,-103.10994,31.28416,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11478146.0165,3669707.976
110,Delmita Gas Plant,Enterprise Hydrocarbons Lp,Enterprise Products Operating LLC,TX,Starr,Delmita,78536,40,23,1150,,,-98.48356,26.65669,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10963139.7507,3080644.7879
111,Denton Gas Plant,Davis Gas Processing Inc,Davis Gas Processing Inc,NM,Lea,Lovington,88260,20,2,1427,,750,-103.1705,33.04443,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11484887.5249,3901202.7888
112,Denver Unit CO2 Recovery Plant,Occidental Permian Ltd 04,OXY,TX,Yoakum,Denver City,79323,290,279,229,,850,-102.81518,32.99825,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11445333.4834,3895071.6825
